Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Int,Tkl+Int,Clr,Err
Tammy Abraham,eng ENG,FW,Roma,25-199,1997,20.3,0.59,0.34,0.15,0.25,0.2,0.15,0.74,0.49,0
Felipe Anderson,br BRA,FW,Lazio,30-004,1993,26.4,2.08,1.36,0.72,1.17,0.19,0.72,2.8,0.72,0
Janis Antiste,fr FRA,FW,Sassuolo,20-244,2002,0.6,1.67,0,1.67,0,0,0,1.67,0,0
Marko Arnautović,at AUT,FW,Bologna,34-000,1989,13.7,0.58,0.36,0.15,0.29,0.15,0.15,0.73,0.58,0
Arthur,br BRA,FW,Fiorentina,24-359,1998,13.2,0.61,0.15,0.08,0.23,0.3,0,0.61,0.61,0
Nedim Bajrami,al ALB,FW,Sassuolo,24-050,1999,4.6,1.09,0.43,0.65,0.43,0,1.3,2.39,1.09,0
Andrea Belotti,it ITA,FW,Roma,29-120,1993,8,1.13,0.63,0.38,0.25,0.5,0.38,1.5,0.25,0
Domenico Berardi,it ITA,FW,Sassuolo,28-261,1994,14.6,1.23,0.82,0.48,0.41,0.34,0.89,2.12,0.96,0
Beto,gw GNB,FW,Udinese,25-078,1998,21,0.76,0.43,0,0.43,0.33,0.19,0.95,1.19,0
Matteo Cancellieri,it ITA,FW,Lazio,21-066,2002,2.7,3.33,1.48,1.85,0.74,0.74,0.37,3.7,0.74,0
Francesco Caputo,it ITA,FW,Sampdoria,35-256,1987,12.2,0.25,0.08,0,0,0.25,0.08,0.33,0.25,0
Francesco Caputo,it ITA,FW,Empoli,35-256,1987,13.3,0.15,0.15,0,0.08,0.08,0.08,0.23,0.38,0
Assan Ceesay,gm GAM,FW,Lecce,29-033,1994,15,1.33,1.07,0.47,0.4,0.47,0.2,1.53,1.53,0
Emil Ceide,no NOR,FW,Sassuolo,21-228,2001,3.8,1.05,0.26,1.05,0,0,0.26,1.32,0,0
Daniel Ciofani,it ITA,FW,Cremonese,37-262,1985,7.9,0.63,0.38,0.13,0.25,0.25,0,0.63,0.38,0
Lorenzo Colombo,it ITA,FW,Lecce,21-042,2002,14.2,0.92,0.35,0.07,0.49,0.35,0.14,1.06,0.35,0
Joaquín Correa,ar ARG,FW,Inter,28-249,1994,7.2,1.39,0.97,0.28,0.83,0.28,0.14,1.53,0,0
Luca D'Andrea,it ITA,FW,Sassuolo,18-225,2004,3.5,1.14,0,0.57,0.29,0.29,0.29,1.43,0.29,0
Grégoire Defrel,mq MTQ,FW,Sassuolo,31-306,1991,8.5,0.94,0.71,0.47,0.24,0.24,0.12,1.06,0.59,0
Cyriel Dessers,ng NGA,FW,Cremonese,28-132,1994,16.7,0.6,0.18,0.18,0.24,0.18,0.18,0.78,0.3,0
Mattia Destro,it ITA,FW,Empoli,32-030,1991,5.2,0.19,0.19,0,0.19,0,0.19,0.38,0.77,0
Gerard Deulofeu,es ESP,FW,Udinese,29-037,1994,13.5,0.59,0.37,0.37,0.07,0.15,0.15,0.74,0.07,0
Edin Džeko,ba BIH,FW,Inter,37-033,1986,17.7,0.11,0.11,0,0.11,0,0.17,0.28,1.3,0
Adolfo Gaich,ar ARG,FW,Hellas Verona,24-052,1999,5.9,0.85,0.51,0,0.51,0.34,0.34,1.19,1.02,0.17
Olivier Giroud,fr FRA,FW,Milan,36-201,1986,18.6,0.38,0.27,0.11,0.16,0.11,0.11,0.48,1.02,0
Thomas Henry,fr FRA,FW,Hellas Verona,28-211,1994,11.4,0.44,0.26,0.09,0.09,0.26,0,0.44,1.23,0
Rasmus Højlund,dk DEN,FW,Atalanta,20-074,2003,16.3,0.25,0.18,0,0.12,0.12,0.06,0.31,0.31,0
Zlatan Ibrahimović,se SWE,FW,Milan,41-198,1981,1.6,0,0,0,0,0,0,0,1.25,0
Jonathan Ikone,fr FRA,FW,Fiorentina,24-352,1998,18.8,0.74,0.32,0.27,0.27,0.21,0.21,0.96,0.16,0
Ciro Immobile,it ITA,FW,Lazio,33-058,1990,17.9,0.45,0.28,0.11,0.22,0.11,0.06,0.5,0.56,0
Jesé,es ESP,FW,Sampdoria,30-052,1993,1.8,0.56,0,0,0.56,0,0.56,1.11,0.56,0
Luka Jović,rs SRB,FW,Fiorentina,25-117,1997,13,0.38,0.15,0.08,0.23,0.08,0.15,0.54,0.62,0
Moise Kean,it ITA,FW,Juventus,23-050,2000,9.7,0.82,0.62,0.21,0.52,0.1,0.41,1.24,0.21,0
Christian Kouamé,ci CIV,FW,Fiorentina,25-134,1997,16.7,1.26,0.96,0.48,0.36,0.42,0.72,1.98,0.24,0
Julian Kristoffersen,no NOR,FW,Salernitana,25-344,1997,0.2,0,0,0,0,0,0,0,0,0
Raimonds Krollis,lv LVA,FW,Spezia,21-173,2001,0.2,5,5,0,0,5,0,5,0,0
Khvicha Kvaratskhelia,ge GEO,FW,Napoli,22-066,2001,21.5,1.49,0.79,0.47,0.28,0.74,0.19,1.67,0.28,0.05
Sam Lammers,nl NED,FW,Sampdoria,25-354,1997,9,1.22,0.56,0.11,0.78,0.33,0.33,1.56,1.11,0
Sam Lammers,nl NED,FW,Empoli,25-354,1997,9.8,2.04,1.02,0.51,0.92,0.61,0.31,2.35,0.82,0
Armand Lauriente,fr FRA,FW,Sassuolo,24-136,1998,21,0.76,0.48,0.1,0.33,0.33,0.48,1.24,0.33,0
Marko Lazetić,rs SRB,FW,Milan,19-087,2004,0.1,0,0,0,0,0,0,0,0,0
Hirving Lozano,mx MEX,FW,Napoli,27-263,1995,15.9,1.51,0.82,0.63,0.38,0.5,0.82,2.33,0.38,0
Romelu Lukaku,be BEL,FW,Inter,29-341,1993,11.6,0.09,0,0,0,0.09,0,0.09,0.86,0
Jordan Majchrzak,pl POL,FW,Roma,18-193,2004,0.2,0,0,0,0,0,0,0,0,0
Lautaro Martínez,ar ARG,FW,Inter,25-240,1997,24.5,0.9,0.45,0.08,0.53,0.29,0.49,1.39,0.49,0.04
Arkadiusz Milik,pl POL,FW,Juventus,29-050,1994,12.5,0.56,0.4,0.08,0.32,0.16,0.08,0.64,0.8,0
Daniele Montevago,it ITA,FW,Sampdoria,20-032,2003,2.6,0.38,0,0,0,0.38,0,0.38,0.38,0
Luis Muriel,co COL,FW,Atalanta,32-003,1991,9.5,0.84,0.53,0.21,0.32,0.32,0.21,1.05,0.21,0
M'Bala Nzola,ao ANG,FW,Spezia,26-244,1996,24.1,0.5,0.21,0,0.25,0.25,0.21,0.71,0.83,0
Riccardo Orsolini,it ITA,FW,Bologna,26-085,1997,17.9,1.23,0.78,0.5,0.5,0.22,0.45,1.68,0.78,0
Victor Osimhen,ng NGA,FW,Napoli,24-111,1998,21.3,0.23,0.14,0.05,0.05,0.14,0.14,0.38,0.89,0
Adam Ounas,dz ALG,FW,Napoli,26-159,1996,0.2,0,0,0,0,0,5,5,0,0
Pedro,es ESP,FW,Lazio,35-265,1987,17.4,1.44,1.03,0.75,0.4,0.29,0.34,1.78,0.23,0.06
Pietro Pellegri,it ITA,FW,Torino,22-033,2001,4.5,1.11,0.22,0.22,0.44,0.44,0,1.11,0.44,0
Andrea Petagna,it ITA,FW,Monza,27-293,1995,15,0.47,0.33,0.13,0.2,0.13,0.13,0.6,1.07,0
Krzysztof Piątek,pl POL,FW,Salernitana,27-292,1995,19,0.74,0.37,0.05,0.37,0.32,0.11,0.84,1.63,0
Roberto Piccoli,it ITA,FW,Hellas Verona,22-082,2001,2.1,0.48,0,0.48,0,0,0,0.48,0.95,0
Roberto Piccoli,it ITA,FW,Empoli,22-082,2001,3.9,0,0,0,0,0,0.26,0.26,2.05,0
Andrea Pinamonti,it ITA,FW,Sassuolo,23-335,1999,20.5,0.44,0.29,0,0.24,0.2,0.1,0.54,0.44,0
Matteo Politano,it ITA,FW,Napoli,29-259,1993,12.5,1.44,0.72,0.72,0.4,0.32,0.56,2,0.56,0
Fabio Quagliarella,it ITA,FW,Sampdoria,40-078,1983,4.6,0.22,0.22,0,0.22,0,0,0.22,1.3,0
Antonio Raimondo,it ITA,FW,Bologna,19-032,2004,0.2,0,0,0,0,0,0,0,5,0
Giacomo Raspadori,it ITA,FW,Sassuolo,23-060,2000,0.5,0,0,0,0,0,0,0,0,0
Luka Romero,ar ARG,FW,Lazio,18-152,2004,1.7,0,0,0,0,0,1.76,1.76,0.59,0
Antonio Sanabria,py PAR,FW,Torino,27-046,1996,19.7,0.41,0.2,0.05,0.15,0.2,0.15,0.56,0.36,0
Nicola Sansone,it ITA,FW,Bologna,31-221,1991,7,1.43,0.57,0.57,0.57,0.29,0,1.43,0.29,0
Riccardo Saponara,it ITA,FW,Fiorentina,31-119,1991,10.9,0.92,0.46,0.28,0.55,0.09,0.37,1.28,0.73,0
Martin Satriano,uy URU,FW,Empoli,22-058,2001,18.1,0.72,0.44,0.28,0.33,0.11,0.17,0.88,1.16,0
Vivaldo Semedo,pt POR,FW,Udinese,18-081,2005,0,0,0,0,0,0,0,0,0,0
Eldor Shomurodov,uz UZB,FW,Spezia,27-294,1995,5.3,0.57,0.57,0.38,0,0.19,0.19,0.75,0.57,0
Eldor Shomurodov,uz UZB,FW,Roma,27-294,1995,1.3,0.77,0,0.77,0,0,0.77,1.54,0,0
Giovanni Simeone,ar ARG,FW,Napoli,27-288,1995,3.6,3.33,0.83,0.83,1.39,1.11,0.28,3.61,0.83,0
Riccardo Sottil,it ITA,FW,Fiorentina,23-320,1999,6.3,0,0,0,0,0,0,0,0,0
Dávid Strelec,sk SVK,FW,Spezia,22-015,2001,1.9,1.05,1.05,0,0.53,0.53,0,1.05,0,0
Isaac Success,ng NGA,FW,Udinese,27-102,1996,19.7,0.41,0.2,0.1,0.25,0.05,0.2,0.61,0.86,0
Dušan Vlahović,rs SRB,FW,Juventus,23-081,2000,18.3,0.44,0.27,0,0.22,0.22,0.16,0.6,0.38,0.05
Joel Voelkerling Persson,se SWE,FW,Lecce,20-094,2003,0.8,1.25,1.25,0,0,1.25,0,1.25,0,0
Mattia Zaccagni,it ITA,FW,Lazio,27-307,1995,23.9,1.38,0.88,0.63,0.59,0.17,0.79,2.18,0.42,0.04
Duván Zapata,co COL,FW,Atalanta,32-018,1991,11.3,0.18,0.18,0,0,0.18,0.27,0.44,1.15,0
Joshua Zirkzee,nl NED,FW,Bologna,21-332,2001,6.7,0.45,0.15,0,0.15,0.3,0.6,1.04,0.45,0
Milan Đurić,ba BIH,FW,Hellas Verona,32-332,1990,9.1,0.22,0.11,0.11,0,0.11,0.11,0.33,1.87,0
Michel Aebischer,ch SUI,"FW,MF",Bologna,26-103,1997,12.7,0.79,0.31,0.24,0.31,0.24,0.47,1.26,0.47,0
Felix Afena-Gyan,gh GHA,"FW,MF",Cremonese,20-090,2003,6.8,0.88,0.44,0.59,0.15,0.15,0.15,1.03,0.44,0
Agustín Álvarez Martínez,uy URU,"FW,MF",Sassuolo,21-335,2001,3.5,1.71,0.86,0,1.43,0.29,0.86,2.57,0.86,0
Lameck Banda,zm ZAM,"FW,MF",Lecce,22-080,2001,13.7,1.68,1.02,0.66,0.8,0.22,0.22,1.9,0.15,0
Musa Barrow,gm GAM,"FW,MF",Bologna,24-156,1998,15.4,1.04,0.19,0.52,0.32,0.19,0.06,1.1,0.26,0
Federico Bonazzoli,it ITA,"FW,MF",Salernitana,25-333,1997,12.4,0.4,0.24,0,0.24,0.16,0.24,0.65,0,0
Erik Botheim,no NOR,"FW,MF",Salernitana,23-099,2000,4.1,1.22,0.98,0,0.73,0.49,0,1.22,0.24,0
Josip Brekalo,hr CRO,"FW,MF",Fiorentina,24-300,1998,1.3,1.54,0.77,0,0.77,0.77,0,1.54,0,0
Nicolò Cambiaghi,it ITA,"FW,MF",Empoli,22-112,2000,7.3,2.19,1.64,1.1,0.55,0.55,0.68,2.88,0.68,0
Manuel De Luca,it ITA,"FW,MF",Sampdoria,24-276,1998,0.5,0,0,0,0,0,0,0,0,0
Samuel Di Carmine,it ITA,"FW,MF",Cremonese,34-202,1988,0.3,0,0,0,0,0,0,0,0,0
Federico Di Francesco,it ITA,"FW,MF",Lecce,28-309,1994,18.2,1.32,0.82,0.38,0.55,0.38,0.33,1.65,0.66,0
Ángel Di María,ar ARG,"FW,MF",Juventus,35-064,1988,11.5,0.7,0.35,0.17,0.43,0.09,0.43,1.13,0,0
Boulaye Dia,sn SEN,"FW,MF",Salernitana,26-154,1996,22,0.45,0.18,0.14,0.18,0.14,0.18,0.64,0.95,0.05
Emmanuel Ekong,se SWE,"FW,MF",Empoli,20-298,2002,0.2,0,0,0,0,0,0,0,0,0
Manolo Gabbiadini,it ITA,"FW,MF",Sampdoria,31-144,1991,18.7,0.59,0.32,0.16,0.21,0.21,0.16,0.75,1.07,0
Nicolás González,ar ARG,"FW,MF",Fiorentina,25-013,1998,11.4,0.88,0.44,0.18,0.44,0.26,0.18,1.05,0.44,0
Christian Gytkjær,dk DEN,"FW,MF",Monza,32-348,1990,5.8,1.03,0.34,0.17,0.69,0.17,0,1.03,0.17,0
Kevin Lasagna,it ITA,"FW,MF",Hellas Verona,30-252,1992,17,0.65,0.29,0.41,0.18,0.06,0.29,0.94,0.76,0
Rafael Leão,pt POR,"FW,MF",Milan,23-313,1999,21.7,0.23,0.18,0.05,0.14,0.05,0.55,0.78,0.37,0
Ademola Lookman,ng NGA,"FW,MF",Atalanta,25-181,1997,18.1,0.61,0.17,0.11,0.33,0.17,0.22,0.83,0,0
Daniel Maldini,it ITA,"FW,MF",Spezia,21-190,2001,6.6,1.82,0.76,0.45,0.61,0.76,0.15,1.97,1.06,0
Dany Mota,pt POR,"FW,MF",Monza,24-352,1998,14.3,0.35,0.28,0,0.14,0.21,0.21,0.56,1.12,0
Ilija Nestorovski,mk MKD,"FW,MF",Udinese,33-038,1990,2,1.5,0,0,0.5,1,0,1.5,1.5,0
David Okereke,ng NGA,"FW,MF",Cremonese,25-233,1997,20,0.55,0.35,0.2,0.25,0.1,0.25,0.8,0.55,0
Divock Origi,be BEL,"FW,MF",Milan,28-001,1995,9.5,0.84,0.32,0.42,0.11,0.32,0,0.84,1.26,0
Remi Oudin,fr FRA,"FW,MF",Lecce,26-152,1996,7.2,2.36,1.11,0.69,1.39,0.28,1.94,4.31,1.53,0
Giacomo Raspadori,it ITA,"FW,MF",Napoli,23-060,2000,8.1,1.11,0.86,0,0.62,0.49,0.49,1.6,0.37,0
Ante Rebić,hr CRO,"FW,MF",Milan,29-210,1993,8.9,0.9,0.67,0.11,0.22,0.56,0.11,1.01,0.45,0
Pablo Rodríguez,es ESP,"FW,MF",Lecce,21-258,2001,0.6,3.33,1.67,3.33,0,0,0,3.33,0,0
Leandro Sanca,pt POR,"FW,MF",Spezia,23-105,2000,0.4,2.5,2.5,0,0,2.5,0,2.5,0,0
Demba Seck,sn SEN,"FW,MF",Torino,22-068,2001,4.4,1.14,0.45,0.68,0.45,0,0.23,1.36,0.23,0
Ola Solbakken,no NOR,"FW,MF",Roma,24-224,1998,2.2,0.45,0.45,0.45,0,0,0.45,0.91,1.36,0
Roberto Soriano,it ITA,"FW,MF",Bologna,32-070,1991,14.7,2.11,1.09,0.61,1.09,0.41,0.41,2.52,0.95,0
Gabriel Strefezza,br BRA,"FW,MF",Lecce,26-001,1997,21.5,1.81,0.93,0.74,0.79,0.28,0.65,2.47,0.65,0
Florian Thauvin,fr FRA,"FW,MF",Udinese,30-083,1993,3.2,0.31,0,0,0.31,0,0.31,0.63,0.31,0
Frank Tsadjout,it ITA,"FW,MF",Cremonese,23-265,1999,9.2,0.98,0.76,0.33,0.54,0.11,0.76,1.74,0.98,0
Daniele Verde,it ITA,"FW,MF",Spezia,26-303,1996,9,0.33,0.33,0.22,0,0.11,0.89,1.22,0.33,0
Emanuel Vignato,it ITA,"FW,MF",Empoli,22-238,2000,0.3,6.67,0,6.67,0,0,0,6.67,0,0
Samuele Vignato,it ITA,"FW,MF",Monza,19-054,2004,0.2,0,0,0,0,0,0,0,0,0
Alessio Zerbin,it ITA,"FW,MF",Napoli,24-047,1999,0.8,10,3.75,5,3.75,1.25,0,10,2.5,0
Yacine Adli,fr FRA,"MF,FW",Milan,22-264,2000,1.4,4.29,2.14,1.43,2.86,0,0.71,5,0.71,0
Kevin Agudelo,co COL,"MF,FW",Spezia,24-156,1998,20.6,3.16,1.65,0.87,1.36,0.92,0.44,3.59,0.29,0
Nedim Bajrami,al ALB,"MF,FW",Empoli,24-050,1999,10.4,0.77,0.38,0.29,0.29,0.19,0.67,1.44,0.38,0
Jeremie Boga,ci CIV,"MF,FW",Atalanta,26-106,1997,7.8,1.03,0.51,0.26,0.26,0.51,0.13,1.15,0.13,0
Cristian Buonaiuto,it ITA,"MF,FW",Cremonese,30-111,1992,7.7,1.82,1.04,0.52,0.65,0.65,1.3,3.12,0.65,0
Gianluca Caprari,it ITA,"MF,FW",Monza,29-263,1993,21.5,0.65,0.28,0.14,0.42,0.09,0.33,0.98,0.14,0
Charles De Ketelaere,be BEL,"MF,FW",Milan,22-040,2001,10.6,2.08,0.94,0.47,1.23,0.38,0.28,2.36,0.75,0
